date,total_generation_gwh,renewable_generation_gwh,renewable_share_pct,year,month,yoy_growth_pct
2012-07-01,9364.441048,3306.81795,35.31249684898438,2012,7,
2012-08-01,9422.351018,3739.26169,39.6850179202271,2012,8,
2012-09-01,8337.67393,3623.871999,43.463824915973895,2012,9,
2012-10-01,7906.628593,3098.476582,39.188341093233895,2012,10,
2012-11-01,6907.884537,2614.1913680000002,37.843588062276844,2012,11,
2012-12-01,6438.398008,1656.107188,25.7223487262237,2012,12,
2013-01-01,6170.577834000001,1101.918145,17.857616817154632,2013,1,
2013-02-01,5408.484095,1612.296965,29.810515047839854,2013,2,
2013-03-01,6190.101963,1558.740763,25.1811807352615,2013,3,
2013-04-01,6265.2,1873.03,29.89577347889932,2013,4,
2013-05-01,7404.03,2418.34,32.66248245887713,2013,5,
2013-06-01,8451.42,3462.28,40.966843441693825,2013,6,
2013-07-01,9894.35,3989.7799999999997,40.323821170668104,2013,7,5.658735521787217
2013-08-01,9739.34,4004.1200000000003,41.11284748247828,2013,8,3.3642238693341042
2013-09-01,9378.86,4165.5,44.41371339373868,2013,9,12.487728336960767
2013-10-01,8424.78,2997.61,35.580869767519154,2013,10,6.55337987494109
2013-11-01,6820.41,2521.37,36.96801218695064,2013,11,-1.2662999291819244
2013-12-01,6943.29,1932.84,27.837523709941543,2013,12,7.841888484878523
2014-01-01,6398.5599999999995,886.1899999999999,13.849834962866645,2014,1,3.6946647807246213
2014-02-01,6009.2,2021.5,33.640085202689214,2014,2,11.106918213096817
2014-03-01,6531.24,1619.27,24.792688677800847,2014,3,5.51102452009804
2014-04-01,7061.84,1911.3300000000002,27.065608963103106,2014,4,12.715316350635252
2014-05-01,8494.24,2962.9100000000003,34.88140198534537,2014,5,14.7245486579606
2014-06-01,9451.57,3489.56,36.92042697668218,2014,6,11.83410598455643
2014-07-01,10353.0,3838.4700000000003,37.07592002318169,2014,7,4.635473780490873
2014-08-01,10340.720000000001,4320.14,41.777941961488175,2014,8,6.174751061160211
2014-09-01,9125.65,3564.03,39.05508100792821,2014,9,-2.6997950710427543
2014-10-01,8326.36,3214.25,38.60330324415471,2014,10,-1.1682204164381704
2014-11-01,6655.94,2905.7599999999998,43.65664353945498,2014,11,-2.4114386085294037
2014-12-01,6784.72,1937.38,28.555047223761633,2014,12,-2.28378765686007
2015-01-01,6186.42,842.84,13.624034578964894,2015,1,-3.315433472531315
2015-02-01,5859.07,1993.99,34.03253417351218,2015,2,-2.498335884976366
2015-03-01,6541.099999999999,1397.45,21.364143645564205,2015,3,0.1509667383222668
2015-04-01,7341.5199999999995,1525.29,20.776215279669604,2015,4,3.9604409049199596
2015-05-01,9578.357,3479.171,36.32325460410381,2015,5,12.762966433724499
2015-06-01,9917.82,4025.7,40.59057333163941,2015,6,4.933042870126347
2015-07-01,10627.2,4666.6,43.91184884071063,2015,7,2.6485076789336537
2015-08-01,10519.26,4525.360000000001,43.01975614254235,2015,8,1.7265722309471654
2015-09-01,9619.47,4225.63,43.92788791898099,2015,9,5.411340562042155
2015-10-01,8297.1,2547.1200000000003,30.698918899374483,2015,10,-0.35141406328815794
2015-11-01,6722.14,2377.04,35.36135813892599,2015,11,0.9946003119018609
2015-12-01,6879.77,1905.39,27.69554796163244,2015,12,1.4009421169923097
