date,year,month,month_name,source,category,generation_gwh,unit
2012-07-01,2012,7,Jul,Electricity Generation by Coal,Fossil / Other,10.863, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Gas,Fossil / Other,2146.974857, GWh
2012-07-01,2012,7,Jul,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,156.795194, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Mixed,Fossil / Other,92.007189, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3279.089374, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Nuclear,Nuclear,334.93, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Hydel,Renewable,3306.11395, GWh
2012-07-01,2012,7,Jul,Electricity Generation by Wind,Renewable,0.704, GWh
2012-07-01,2012,7,Jul,Electricity Generation by bagasse,Renewable,0.0, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Coal,Fossil / Other,6.916, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Gas,Fossil / Other,2213.447871, GWh
2012-08-01,2012,8,Aug,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,126.111441, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Mixed,Fossil / Other,80.865723, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2879.219934, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Nuclear,Nuclear,338.9, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Hydel,Renewable,3738.70169, GWh
2012-08-01,2012,8,Aug,Electricity Generation by Wind,Renewable,0.56, GWh
2012-08-01,2012,8,Aug,Electricity Generation by bagasse,Renewable,0.0, GWh
2012-09-01,2012,9,Sep,Electricity Generation by Coal,Fossil / Other,0.0, GWh
2012-09-01,2012,9,Sep,Electricity Generation by Gas,Fossil / Other,1644.067572, GWh
2012-09-01,2012,9,Sep,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,127.282131, GWh
2012-09-01,2012,9,Sep,Electricity Generation by Mixed,Fossil / Other,82.765788, GWh
