ITEMS,UNIT,JUL-2012,AUG-2012,SEP-2012,OCT-2012,NOV-2012,DEC-2012,JAN-2013,FEB-2013,MAR-2013,APR-2013,MAY-2013,JUN-2013,JUL-2013,AUG-2013,SEP-2013,OCT-2013,NOV-2013,DEC-2013,JAN-2014,FEB-2014,MAR-2014,APR-2014,MAY-2014,JUN-2014,JUL-2014,AUG-2014,SEP-2014,OCT-2014,NOV-2014,DEC-2014,JAN-2015,FEB-2015,MAR-2015,APR-2015,MAY-2015,JUN-2015,JUL-2015,AUG-2015,SEP-2015,OCT-2015,NOV-2015,DEC-2015,JAN-2016,FEB-2016,MAR-2016,APR-2016,MAY-2016,JUN-2016,JUL-2016,AUG-2016,SEP-2016,OCT-2016,NOV-2016,DEC-2016,JAN-2017,FEB-2017,MAR-2017,APR-2017,MAY-2017,JUN-2017,JUL-2017,AUG-2017,SEP-2017,OCT-2017,NOV-2017,DEC-2017,JAN-2018,FEB-2018,MAR-2018,APR-2018,MAY-2018,JUN-2018,JUL-2018,AUG-2018,SEP-2018,OCT-2018,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019,MAY-2019,JUN-2019,JUL-2019,AUG-2019,SEP-2019,OCT-2019,NOV-2019,DEC-2019,JAN-2020,FEB-2020,MAR-2020,APR-2020,MAY-2020,JUN-2020,JUL-2020,AUG-2020,SEP-2020,OCT-2020,NOV-2020,DEC-2020,JAN-2021,FEB-2021,MAR-2021,APR-2021,MAY-2021,JUN-2021,JUL-2021,AUG-2021,SEP-2021,OCT-2021,NOV-2021,DEC-2021,JAN-2022,FEB-2022,MAR-2022,APR-2022,MAY-2022,JUN-2022,JUL-2022,AUG-2022,SEP-2022,OCT-2022,NOV-2022,DEC-2022,JAN-2023,FEB-2023,MAR-2023,APR-2023,MAY-2023,JUN-2023,JUL-2023,AUG-2023,SEP-2023,OCT-2023,NOV-2023,DEC-2023,JAN-2024,FEB-2024,MAR-2024,APR-2024,MAY-2024,JUN-2024,JUL-2024,AUG-2024,SEP-2024,OCT-2024,NOV-2024,DEC-2024,JAN-2025,FEB-2025,MAR-2025,APR-2025,MAY-2025,JUN-2025,JUL-2025,AUG-2025,SEP-2025,OCT-2025,NOV-2025,DEC-2025,JAN-2026,FEB-2026,MAR-2026,APR-2026,MAY-2026,JUN-2026
Total Electricity Generation by all sources,GWh,9364.441048,9422.351018,8337.67393,7906.628593,6907.884537,6438.398008,6170.577834,5408.484095,6190.101963,6265.2,7404.03,8451.42,9894.35,9739.34,9378.86,8424.78,6820.41,6943.29,6398.56,6009.2,6531.24,7061.84,8494.24,9451.57,10353.0,10340.72,9125.65,8326.36,6655.94,6784.72,6186.42,5859.07,6541.1,7341.52,9578.357,9917.82,10627.2,10519.26,9619.47,8297.1,6722.14,6879.77,6770.54,6397.42,6735.0,7813.99,10003.29,9893.63,11005.649,10780.2,10220.1,8678.57,6935.26,6903.01,7168.2,6352.5,7619.83,8841.98,11022.06,11458.23,12496.64,12754.283,11489.02,10017.29,7370.22,7690.24,7982.06,6948.87,8740.91,10999.59,12098.98,12913.76,13751.81,14017.49,12552.06,9573.79,7545.63,7720.646988,7763.58,6686.83,7721.31,9717.38,12603.59,13157.24,14231.25,14051.55,13621.0,9572.04,7433.75,7556.86,7792.97,7001.0,6911.0,8392.0,12017.0,13288.0,14711.08,14629.7,13103.30035,10243.994,7479.401,7878.911,8078.821878,7281.0,8984.7968,10480.9617,13009.50712,14361.12365,15679.6909,16078.078,14026.987,11296.22527,8481.718,8815.054,8796.957,8087.908,10418.418,12960.4,14656.9,13876.1,14150.9,14052.6,12877.8,10704.9,8368.0,8416.72,8514.84,7755.532,8741.32,10010.298,12283.68,13715.48,14838.72,15959.27,13339.216,9570.28,7546.72,8416.807,8313.733,7116.046,8023.26,8639.33,12616.953,13459.20671,14880.34,13178.9,12486.59,10262.37,8031.5,7799.69,8153.28,6933.87,8408.92,10513.22,12754.61,13744.43,14123.13,14218.34061,12592.03091,9885.78,8050.208559,8487.043342,9140.246828,7695.74,8939.278884,9498.86,12638.13,13431.22
Electricity Generation by Hydel,GWh,3306.11395,3738.70169,3623.535999,3098.300582,2614.023368,1655.771188,1101.566145,1611.816965,1558.356763,1872.61,2404.3,3447.77,3966.18,3969.05,4141.74,2986.07,2508.73,1917.84,865.91,2008.44,1604.42,1892.69,2931.4,3446.54,3790.63,4282.93,3532.44,3202.84,2891.91,1907.41,809.87,1957.18,1364.16,1472.75,3377.71,3972.81,4528.8,4382.39,4138.62,2495.76,2302.36,1802.71,842.95,2213.26,1855.42,2385.69,3584.26,3739.78,3948.02,4249.59,4209.5,2762.04,2842.53,1642.65,811.78,1493.5,1284.24,2025.71,3325.01,3490.23,3847.55,4196.51,4142.64,2438.39,2212.47,1231.53,606.34,1356.6,872.44,1527.0,2217.0,3589.02,3891.51,4478.41,4279.5,2389.95,2563.97,1334.488221,477.62,1522.6,1601.12,2229.41,3747.21,3840.0,4629.48,5667.51,5053.0,2438.8,2900.0,1723.29,867.73,2258.0,1407.0,2482.0,4457.0,4817.0,5406.99,5469.55,4871.459453,3174.153,2990.349,1788.826,1067.03733,2033.93,1740.579,2572.581,3465.45727,4222.147285,4694.66222,5594.298,5085.479,2627.246562,2816.493,1768.836,512.937,1473.761,1703.912,2404.4,3590.8,3361.2,4976.9,5353.7,4403.8,3143.6,2484.0,1720.4,800.33,2052.158,2001.612,1872.236,3312.2,4133.45,5517.77,6005.5,5008.516,3114.14,2754.862,1720.429,924.215,1766.293,2216.808,2070.347,3906.273,4728.500466,5341.22,5361.56,4837.98,3187.39,2859.994,1778.28,866.39,1871.87,1296.77,2306.43,4843.86,5409.73,5668.14,5517.345457,4783.282056,2704.72,3152.632784,1534.031282,713.271,1782.52,2105.17734,2078.94,4204.99,5241.8
Electricity Generation by Coal,GWh,10.863,6.916,0.0,6.394,6.589,2.515,0.0,0.0,0.0,,,6.36,10.86,13.25,6.21,13.78,6.14,,6.79,10.05,11.69,15.71,5.98,11.54,10.11,4.7,7.85,0.12,15.34,14.47,1.56,18.35,7.58,13.12,,,5.85,3.0,10.2,4.61,6.58,10.0,12.49,5.13,12.36,11.52,10.73,12.35,8.399,10.44,8.13,10.17,0.0,2.5,9.62,4.6,8.7,13.1,237.06,652.44,368.05,405.07,551.18,687.36,961.75,909.58,1144.66,1162.0,1263.58,1401.0,1488.95,1522.47,1736.77,1343.77,1149.17,1115.7,1043.72,1563.12875,1451.8,1167.69,1068.76,1005.04,1628.88,2037.45,2038.94,1873.91,2232.0,2356.9,2030.23,2171.05,2500.78,2087.0,2093.0,1824.0,2189.0,2156.0,2581.16,2530.0,2282.847425,1916.581,1085.43,2296.889,2559.5561,1902.98,2734.387,2439.883,2618.972,2589.7691,2383.3276,2293.825,2382.517,1885.7801,1379.121,2103.648,2916.697,2563.872,2586.623,2168.9,2018.5,1883.1,1802.2,2163.0,1449.2,1656.5,975.0,1520.9,2443.77,1091.14,1333.514,1818.513,2061.3,2434.43,2179.89,2357.23,2122.866,1670.17,1473.117,1520.927,1948.933,1128.704,861.773,901.733,1754.268,2126.0618,2642.83,1986.35,2410.12,2420.79,1495.647,907.91,1964.12,1151.56,1937.94,2578.91,2209.67,2906.82,2642.11,2580.0177,2221.15945,1726.64,1159.2196,2047.08823,2983.249,2381.0,2731.97973,2825.28,3185.5,3057.54
Electricity Generation by High Speed Diesel (HSD),GWh,156.795194,126.111441,127.282131,110.602603,177.45414,171.519675,163.204758,34.192377,37.533605,109.17,60.87,28.49,53.79,139.07,115.84,250.42,29.33,66.25,196.45,,106.31,133.32,237.21,296.4,385.5,303.58,320.17,245.48,5.07,52.7,582.87,105.64,302.84,371.2,114.238,126.95,125.15,279.21,106.89,172.74,28.4,99.42,367.3,3.44,11.89,12.96,22.56,197.97,86.53,142.16,101.66,172.84,0.0,60.62,362.08,5.9,38.15,137.65,405.56,155.37,335.59,335.99,60.25,0.0,0.0,51.48,0.0,0.77,0.0,0.11,0.0,3.9,10.74,6.07,1.93,,,,12.26,,,0.0,0.0,,0.0,,,,,,,,,,,,113.09,97.76,71.702078,6.604,0.0,0.0,46.203137,,,0.0,20.319193,61.34539,123.488094,19.84,23.42,57.096242,24.99,238.57,592.077,,,58.5,28.5,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.0,101.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.85,0.0,5.47
Electricity Generation by Residual Fuel Oil (RFO),GWh,3279.089374,2879.219934,2398.782716,2401.436967,2092.353485,2677.246223,2998.941491,2065.95621,2607.391215,2433.01,2631.84,2558.03,3258.54,3267.76,3128.01,3321.39,2348.43,2940.26,3487.89,2285.04,2689.21,2940.79,3107.0,3250.99,3445.24,3236.65,2779.77,2780.61,1394.06,2658.56,2806.66,1933.36,2540.72,2880.22,2740.55,2484.22,2390.11,2767.43,2297.87,2572.81,1856.25,2484.42,3387.48,2133.0,1992.02,2251.3,2732.92,3420.79,3168.7,3054.42,2651.33,2630.35,1345.02,2673.3,3295.96,1677.5,2495.77,3081.24,3305.8,2559.93,3198.5,3122.95,2328.48,2547.48,648.5,2281.45,1630.46,581.4,1410.35,1550.0,2338.23,1162.5,1283.76,1643.75,1024.88,754.35,5.75,930.784947,1722.06,112.35,40.29,481.05,397.92,694.84,783.08,505.92,817.0,19.26,2.0,366.69,800.94,78.0,2.0,30.0,130.0,647.0,859.81,792.38,762.420111,154.474,27.772,293.922,974.031592,77.307,235.123,147.8507,771.48986,1174.199115,1612.343217,1627.559,997.438,1228.658849,145.401,353.259,1238.106,526.728,1106.194,1564.1,1290.3,1454.0,876.9,1021.4,1080.5,156.6,11.0,38.91,463.32,107.774,40.526,222.598,240.97,744.42,294.55,649.164,240.612,-1.227,0.276,38.913,750.423,0.0,0.0,0.005,61.942,262.962957,102.1,5.66,39.19,2.0,0.0,2.64,109.12,0.0,3.62,83.46,20.08,151.08,108.41,91.892174,97.401752,47.54,0.0,0.0,274.201,0.0,90.97215,485.84,20.11,99.95
Electricity Generation by Gas,GWh,2146.974857,2213.447871,1644.067572,1732.835344,1472.595494,1512.060795,1672.622671,1494.865648,1618.672581,1504.42,1810.12,1842.64,2088.05,1755.24,1407.83,1282.46,1384.59,1436.52,1227.66,1178.14,1618.51,1587.58,1907.11,2072.34,2135.88,1889.98,1876.14,1523.65,1766.01,1575.33,1442.89,1252.6,1669.67,1964.31,2659.948,2722.0,2930.53,2684.69,2737.42,2721.89,2188.0,2087.55,1717.82,1460.28,2231.05,2524.12,2963.73,1923.67,2054.58,2343.99,2233.36,2118.17,1925.57,1855.34,1822.2,1796.6,2218.74,1938.45,1944.85,2111.76,2145.17,2146.31,1882.79,1683.17,1778.11,1787.66,1851.64,1572.9,1860.06,1549.0,1931.34,2026.03,2045.43,2039.67,1980.34,1913.1,1511.98,1679.262704,1709.42,1595.08,1832.86,1789.5,2056.55,1880.88,1680.92,1668.49,1615.0,1164.94,694.55,1146.03,1653.58,919.0,1182.0,889.0,1014.0,1436.0,1478.88,1402.45,1324.131278,1145.326,437.043,1239.585,1333.801176,906.37,1036.221,1277.923,1454.391295,1303.84056,1361.171911,1313.211,1248.277,1092.745966,1093.163,1215.569,1264.361,918.396,992.723,1276.6,1464.6,1479.3,1466.4,1315.2,1205.5,1296.4,1189.0,1273.8,1145.89,849.61,1107.011,1189.438,1270.9,1170.93,1128.72,1213.61,1005.294,703.78,694.775,1273.796,1035.368,787.007,795.076,974.751,1109.681,1165.870809,1180.1,950.21,988.1,825.94,858.024,959.82,1069.05,716.49,978.55,841.84,883.18,968.05,1092.65,1035.056619,940.84304,905.41,679.801926,950.782818,1117.458,886.64,1013.539961,968.12,1049.6,866.69
Electricity Generation by Regasification Liquefied Natural Gas(RLNG),GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.51,291.27,297.53,353.6,286.15,,,537.8,611.23,785.68,857.31,1406.78,1514.5,1369.2,1326.37,1492.74,869.66,365.86,1602.88,1340.9,2126.1,3695.0,2890.12,3252.28,3370.24,3187.48,2847.33,2194.68,1299.75,960.53882,1138.25,1129.23,1883.76,2995.81,3624.86,3613.71,3516.71,3216.04,2868.0,2432.73,684.06,1134.85,957.82,593.0,993.0,1874.0,2734.0,2826.0,3032.69,3058.0,2804.558366,2851.04,1913.991,1094.096,916.418847,1271.041,1892.774,2571.554,2828.551746,2701.340793,3137.679332,2895.923,2651.951,2703.375079,1208.697,1191.79,626.077,1226.007,1965.683,2516.8,3355.2,3390.5,2119.6,1755.8,1821.2,1843.7,1012.0,1153.7,1285.79,1462.357,1784.592,2417.747,2988.05,2543.86,2918.09,2740.59,2127.804,1938.71,797.993,1153.73,1514.375,1449.609,1658.442,2157.171,2747.549,2436.7609,2969.74,2105.69,2039.26,2002.62,906.61,1614.68,1542.29,980.25,1528.1,2157.02,2167.5,2215.71,2438.21,2179.667597,1814.67067,1949.02,695.896472,1463.51437,2001.943,728.64,503.998938,380.21,1492.99,1479.82
Electricity Generation by Nuclear,GWh,334.93,338.9,428.043,436.725,432.873,287.747,84.729,68.86,222.205,222.25,351.6,431.67,359.58,430.59,431.0,437.38,416.15,434.45,452.45,393.97,349.96,350.94,151.55,193.64,386.12,435.93,432.03,403.42,433.65,384.92,349.58,409.49,451.96,431.98,445.332,430.99,428.76,181.68,186.79,226.64,219.16,226.37,280.64,404.35,439.2,421.39,416.99,422.01,434.59,432.19,422.31,437.42,338.4,441.69,580.55,581.0,616.62,440.8,485.44,657.14,641.59,736.333,777.55,837.6,634.21,728.59,820.95,608.2,786.18,835.0,656.16,656.03,735.65,628.27,681.93,887.67,821.05,896.588,905.62,744.03,877.65,745.2,543.61,538.43,826.64,654.99,749.0,883.23,858.43,699.72,680.95,758.0,913.0,886.0,915.0,880.0,715.53,817.0,677.89,714.583,663.299,741.459,852.685,791.909,940.155,1067.087,1271.3465,1618.0585,1659.851,1630.186,1261.796,1392.916,1485.186,1549.06,1264.361,1013.255,1563.663,2251.2,1890.4,1265.7,2009.5,1874.0,2265.5,2206.3,2338.0,2284.86,1875.65,1883.091,2002.007,1916.067,1542.59,1857.11,2106.93,2040.45,2286.35,1826.26,1571.661,2284.862,1727.801,1660.245,2069.6,2042.656,2360.023,1998.393,1987.72,2190.31,1595.67,1441.94,1655.204,2065.1,2169.37,1846.94,2222.79,1882.43,2011.78,1382.84,1405.45,2145.255,2227.359,2187.85,2030.922,2125.797,1598.833,1448.96,1962.29,2096.83,1801.33,1800.26
Electricity Imported from Iran,GWh,36.963484,37.628359,32.860724,32.555799,28.690623,24.099029,26.222159,22.62996,29.271721,29.04,37.1,38.07,42.24,38.26,38.81,37.25,28.22,28.7,31.03,28.1,31.42,37.44,34.61,42.49,45.62,43.26,40.21,40.75,34.44,31.31,29.97,28.12,32.81,38.44,42.738,89.1,43.24,44.22,39.6,40.46,34.45,34.66,33.33,32.68,32.82,39.24,44.74,43.6,45.51,44.72,42.09,41.34,35.02,32.05,34.58,33.8,38.72,44.91,49.48,53.88,54.28,52.65,49.21,48.62,40.63,36.82,37.93,34.6,42.17,46.4,53.63,52.88,29.39,48.83,47.07,45.95,39.16,38.1136,35.04,28.38,34.21,42.43,52.43,48.79,53.47,52.45,50.0,43.05,35.57,32.55,28.73,32.0,34.0,44.0,54.0,53.0,50.25,52.09,46.6614,40.555,33.461,33.29,31.6462,29.65,38.701,44.841,47.3884,49.9084,40.093,45.243,48.296,41.4139,36.692,36.47,31.649,33.882,42.747,52.0,54.5,51.5,46.6,54.5,53.7,47.8,45.0,39.85,37.13,32.95,31.581,30.459,34.5,24.98,28.85,26.199,24.234,22.539,29.735,39.853,29.086,25.657,28.377,37.094,49.961644,47.645034,47.76,35.77,40.3,42.38,36.803,32.76,33.59,29.63,39.28,32.46,36.19,46.99,35.99,17.366247,23.795675,43.26,34.64777,32.947644,34.799828,34.76,39.28394,32.46,36.19,46.99
Electricity Generation by Mixed,GWh,92.007189,80.865723,82.765788,87.602298,83.137427,107.103098,122.93961,109.682935,116.287078,94.28,94.16,83.88,91.51,91.05,85.66,84.49,86.18,104.27,110.1,92.4,104.87,84.73,87.87,94.61,106.06,106.48,105.45,118.08,101.61,130.05,130.05,117.52,138.07,116.96,96.38,38.86,36.96,33.67,15.07,10.83,12.26,31.96,32.43,30.29,19.88,9.13,9.11,9.78,8.11,7.84,7.03,5.98,14.57,27.79,32.45,36.1,50.21,29.54,25.08,26.67,26.69,31.02,56.68,56.79,56.13,55.35,72.4,61.1,68.81,56.37,57.08,55.06,58.02,58.0,53.21,48.34,25.65,23.75873,25.62,23.49,33.66,28.57,15.27,11.53,10.18,10.02,10.0,13.07,14.16,2.81,15.6,10.0,38.0,10.0,33.0,4.0,30.03,20.26,11.90246,134.082,184.918,218.722,1.063541,98.111,169.5198,22.735,16.387044,10.210301,9.861874,16.977,18.181,11.870853,11.835,7.87,2.295,10.148,13.215,9.4,16.8,9.9,16.9,17.8,15.9,14.8,7.0,2.18,2.15,1.873,3.562,13.349,27.66,27.07,0.0,0.0,0.0,0.0,0.0,2.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
