date,source,generation_gwh,unit
2012-07-01,Total Electricity Generation by all sources,9364.441048,GWh
2012-07-01,Electricity Generation by Hydel,3306.11395,GWh
2012-07-01,Electricity Generation by Coal,10.863,GWh
2012-07-01,Electricity Generation by High Speed Diesel (HSD),156.795194,GWh
2012-07-01,Electricity Generation by Residual Fuel Oil (RFO),3279.089374,GWh
2012-07-01,Electricity Generation by Gas,2146.974857,GWh
2012-07-01,Electricity Generation by Nuclear,334.93,GWh
2012-07-01,Electricity Imported from Iran,36.963484,GWh
2012-07-01,Electricity Generation by Mixed,92.007189,GWh
2012-07-01,Electricity Generation by Wind,0.704,GWh
2012-07-01,Electricity Generation by bagasse,0.0,GWh
2012-08-01,Total Electricity Generation by all sources,9422.351018,GWh
2012-08-01,Electricity Generation by Hydel,3738.70169,GWh
2012-08-01,Electricity Generation by Coal,6.916,GWh
2012-08-01,Electricity Generation by High Speed Diesel (HSD),126.111441,GWh
2012-08-01,Electricity Generation by Residual Fuel Oil (RFO),2879.219934,GWh
2012-08-01,Electricity Generation by Gas,2213.447871,GWh
2012-08-01,Electricity Generation by Nuclear,338.9,GWh
2012-08-01,Electricity Imported from Iran,37.628359,GWh
2012-08-01,Electricity Generation by Mixed,80.865723,GWh
2012-08-01,Electricity Generation by Wind,0.56,GWh
2012-08-01,Electricity Generation by bagasse,0.0,GWh
2012-09-01,Total Electricity Generation by all sources,8337.67393,GWh
2012-09-01,Electricity Generation by Hydel,3623.535999,GWh
2012-09-01,Electricity Generation by Coal,0.0,GWh
2012-09-01,Electricity Generation by High Speed Diesel (HSD),127.282131,GWh
2012-09-01,Electricity Generation by Residual Fuel Oil (RFO),2398.782716,GWh
2012-09-01,Electricity Generation by Gas,1644.067572,GWh
2012-09-01,Electricity Generation by Nuclear,428.043,GWh
2012-09-01,Electricity Imported from Iran,32.860724,GWh
2012-09-01,Electricity Generation by Mixed,82.765788,GWh
2012-09-01,Electricity Generation by Wind,0.336,GWh
2012-09-01,Electricity Generation by bagasse,0.0,GWh
2012-10-01,Total Electricity Generation by all sources,7906.628593,GWh
2012-10-01,Electricity Generation by Hydel,3098.300582,GWh
2012-10-01,Electricity Generation by Coal,6.394,GWh
2012-10-01,Electricity Generation by High Speed Diesel (HSD),110.602603,GWh
2012-10-01,Electricity Generation by Residual Fuel Oil (RFO),2401.436967,GWh
2012-10-01,Electricity Generation by Gas,1732.835344,GWh
2012-10-01,Electricity Generation by Nuclear,436.725,GWh
2012-10-01,Electricity Imported from Iran,32.555799,GWh
2012-10-01,Electricity Generation by Mixed,87.602298,GWh
2012-10-01,Electricity Generation by Wind,0.176,GWh
2012-11-01,Total Electricity Generation by all sources,6907.884537,GWh
2012-11-01,Electricity Generation by Hydel,2614.023368,GWh
2012-11-01,Electricity Generation by Coal,6.589,GWh
2012-11-01,Electricity Generation by High Speed Diesel (HSD),177.45414,GWh
2012-11-01,Electricity Generation by Residual Fuel Oil (RFO),2092.353485,GWh
2012-11-01,Electricity Generation by Gas,1472.595494,GWh
2012-11-01,Electricity Generation by Nuclear,432.873,GWh
2012-11-01,Electricity Imported from Iran,28.690623,GWh
2012-11-01,Electricity Generation by Mixed,83.137427,GWh
2012-11-01,Electricity Generation by Wind,0.168,GWh
2012-12-01,Total Electricity Generation by all sources,6438.398008,GWh
2012-12-01,Electricity Generation by Hydel,1655.771188,GWh
2012-12-01,Electricity Generation by Coal,2.515,GWh
2012-12-01,Electricity Generation by High Speed Diesel (HSD),171.519675,GWh
2012-12-01,Electricity Generation by Residual Fuel Oil (RFO),2677.246223,GWh
2012-12-01,Electricity Generation by Gas,1512.060795,GWh
2012-12-01,Electricity Generation by Nuclear,287.747,GWh
2012-12-01,Electricity Imported from Iran,24.099029,GWh
2012-12-01,Electricity Generation by Mixed,107.103098,GWh
2012-12-01,Electricity Generation by Wind,0.336,GWh
2013-01-01,Total Electricity Generation by all sources,6170.577834,GWh
2013-01-01,Electricity Generation by Hydel,1101.566145,GWh
2013-01-01,Electricity Generation by Coal,0.0,GWh
2013-01-01,Electricity Generation by High Speed Diesel (HSD),163.204758,GWh
2013-01-01,Electricity Generation by Residual Fuel Oil (RFO),2998.941491,GWh
2013-01-01,Electricity Generation by Gas,1672.622671,GWh
2013-01-01,Electricity Generation by Nuclear,84.729,GWh
2013-01-01,Electricity Imported from Iran,26.222159,GWh
2013-01-01,Electricity Generation by Mixed,122.93961,GWh
2013-01-01,Electricity Generation by Wind,0.352,GWh
2013-02-01,Total Electricity Generation by all sources,5408.484095,GWh
2013-02-01,Electricity Generation by Hydel,1611.816965,GWh
2013-02-01,Electricity Generation by Coal,0.0,GWh
2013-02-01,Electricity Generation by High Speed Diesel (HSD),34.192377,GWh
2013-02-01,Electricity Generation by Residual Fuel Oil (RFO),2065.95621,GWh
2013-02-01,Electricity Generation by Gas,1494.865648,GWh
2013-02-01,Electricity Generation by Nuclear,68.86,GWh
2013-02-01,Electricity Imported from Iran,22.62996,GWh
2013-02-01,Electricity Generation by Mixed,109.682935,GWh
2013-02-01,Electricity Generation by Wind,0.48,GWh
2013-03-01,Total Electricity Generation by all sources,6190.101963,GWh
2013-03-01,Electricity Generation by Hydel,1558.356763,GWh
2013-03-01,Electricity Generation by Coal,0.0,GWh
2013-03-01,Electricity Generation by High Speed Diesel (HSD),37.533605,GWh
2013-03-01,Electricity Generation by Residual Fuel Oil (RFO),2607.391215,GWh
2013-03-01,Electricity Generation by Gas,1618.672581,GWh
2013-03-01,Electricity Generation by Nuclear,222.205,GWh
2013-03-01,Electricity Imported from Iran,29.271721,GWh
2013-03-01,Electricity Generation by Mixed,116.287078,GWh
2013-03-01,Electricity Generation by Wind,0.384,GWh
2013-04-01,Total Electricity Generation by all sources,6265.2,GWh
2013-04-01,Electricity Generation by Hydel,1872.61,GWh
2013-04-01,Electricity Generation by High Speed Diesel (HSD),109.17,GWh
2013-04-01,Electricity Generation by Residual Fuel Oil (RFO),2433.01,GWh
2013-04-01,Electricity Generation by Gas,1504.42,GWh
2013-04-01,Electricity Generation by Nuclear,222.25,GWh
2013-04-01,Electricity Imported from Iran,29.04,GWh
2013-04-01,Electricity Generation by Mixed,94.28,GWh
2013-04-01,Electricity Generation by Wind,0.42,GWh
2013-05-01,Total Electricity Generation by all sources,7404.03,GWh
2013-05-01,Electricity Generation by Hydel,2404.3,GWh
2013-05-01,Electricity Generation by High Speed Diesel (HSD),60.87,GWh
2013-05-01,Electricity Generation by Residual Fuel Oil (RFO),2631.84,GWh
2013-05-01,Electricity Generation by Gas,1810.12,GWh
2013-05-01,Electricity Generation by Nuclear,351.6,GWh
2013-05-01,Electricity Imported from Iran,37.1,GWh
2013-05-01,Electricity Generation by Mixed,94.16,GWh
2013-05-01,Electricity Generation by Wind,14.04,GWh
2013-06-01,Total Electricity Generation by all sources,8451.42,GWh
2013-06-01,Electricity Generation by Hydel,3447.77,GWh
2013-06-01,Electricity Generation by Coal,6.36,GWh
2013-06-01,Electricity Generation by High Speed Diesel (HSD),28.49,GWh
2013-06-01,Electricity Generation by Residual Fuel Oil (RFO),2558.03,GWh
2013-06-01,Electricity Generation by Gas,1842.64,GWh
2013-06-01,Electricity Generation by Nuclear,431.67,GWh
2013-06-01,Electricity Imported from Iran,38.07,GWh
2013-06-01,Electricity Generation by Mixed,83.88,GWh
2013-06-01,Electricity Generation by Wind,14.51,GWh
2013-07-01,Total Electricity Generation by all sources,9894.35,GWh
2013-07-01,Electricity Generation by Hydel,3966.18,GWh
2013-07-01,Electricity Generation by Coal,10.86,GWh
2013-07-01,Electricity Generation by High Speed Diesel (HSD),53.79,GWh
2013-07-01,Electricity Generation by Residual Fuel Oil (RFO),3258.54,GWh
2013-07-01,Electricity Generation by Gas,2088.05,GWh
2013-07-01,Electricity Generation by Nuclear,359.58,GWh
2013-07-01,Electricity Imported from Iran,42.24,GWh
2013-07-01,Electricity Generation by Mixed,91.51,GWh
2013-07-01,Electricity Generation by Wind,23.6,GWh
2013-08-01,Total Electricity Generation by all sources,9739.34,GWh
2013-08-01,Electricity Generation by Hydel,3969.05,GWh
2013-08-01,Electricity Generation by Coal,13.25,GWh
2013-08-01,Electricity Generation by High Speed Diesel (HSD),139.07,GWh
2013-08-01,Electricity Generation by Residual Fuel Oil (RFO),3267.76,GWh
